id,zip
22202,91911
22214,92029
22256,92026
22257,91942
22275,91932
22276,92101
22297,92131
22302,91911
22308,92101
22334,92110
22346,91914
22361,92081
22369,92115
22373,91911
22381,92108
22389,92108
22394,91932
22415,92154
22450,92037
22453,92109
22475,92111
22477,92103
22536,92102
22556,92026
22560,91950
22568,92109
22608,91950
22613,91902
22649,92101
22655,92128
22661,92108
22678,92124
22716,92109
22724,91950
22742,92020
22762,92116
22764,92104
22783,92110
22795,92105
22805,92065
22851,92101
22863,92126
22916,92027
22920,92071
22941,92065
22953,92101
22961,92121
22978,91913
22986,92025
22987,92078
22996,92056
23000,92173
23007,92075
23017,92103
23022,92108
23024,92154
23042,92020
23051,92037
23072,92110
23084,92025
23089,92104
23094,92025
23095,92020
23105,92065
23116,92064
23136,92118
23138,92024
23147,92127
23176,91910
23186,92108
23189,92056
23192,92126
23193,92108
23196,92116
23204,92108
23216,92115
23224,92109
23226,91911
23247,92126
23268,92173
23286,92106
23289,92104
23294,92122
23295,91910
23333,92103
23335,92101
23347,92101
23351,92111
23381,92111
23421,92024
23425,92109
23426,92029
23441,92020
23477,92120
23482,92154
23487,92123
23535,92109
23547,92118
23586,92120
23605,92117
23607,92110
23622,92127
23625,92107
23629,92104
23684,92054
23698,92122
23704,91932
23709,92024
23718,92128
23739,92154
23749,92054
23797,92106
23805,92128
23806,91942
23816,92009
23843,92120
23845,92111
23856,92119
23857,92101
23868,92103
23922,92121
23943,91910
23955,92116
23960,92126
23980,92128
23981,92128
23985,92109
23986,92101
24014,92024
24033,92121
24048,91910
24065,92108
24080,92126
24081,92126
24085,92130
24101,92110
24121,92054
24144,92126
24145,92008
24158,92037
24163,92154
24164,91915
24202,92024
24208,92026
24228,91911
24269,92054
24277,92118
24279,92106
24281,92102
24284,92020
24285,92106
24286,92025
24290,92065
24314,92173
24365,92008
24390,91911
24397,92101
24408,91942
24436,91910
24437,92103
24443,91911
24449,92110
24458,92101
24469,91950
24470,92109
24471,92024
24483,92108
24504,92024
24529,92115
24530,92111
24538,92011
24554,91942
24566,92037
24597,92111
24617,92139
24627,92121
24630,91950
24631,92027
24641,92115
24651,91915
24655,92105
24656,92075
24688,92115
24719,92025
24721,92110
24739,92105
24740,92020
24746,92121
24747,92111
24763,92104
24771,92128
24805,92064
24832,92071
24834,91950
24900,92126
24907,92067
24948,92117
24950,92108
24974,92101
25004,92008
25033,92154
25040,92124
25043,92101
25050,92111
25069,92064
25073,92117
25080,92101
25084,92108
25109,92120
25115,92026
25149,92108
25154,92154
25172,92065
25173,91932
25175,92071
25191,92037
25195,92071
25209,92101
25216,92154
25225,92117
25233,92117
25240,91914
25252,92107
25256,91977
25258,92121
25273,91950
25277,92126
25283,92105
25284,91915
25286,91902
25291,92116
25313,92108
25321,92123
25346,92106
25351,92078
25360,91911
25362,92065
25363,92025
25410,92120
25422,92113
25432,92020
25446,92173
25447,92103
25455,92104
25458,92078
25472,92008
25483,91910
25487,92110
25520,92078
25521,92054
25523,92115
25527,92109
25554,92011
25559,92078
25562,92110
25571,92131
25594,92037
25598,92154
25633,92121
25672,92104
25707,92116
25731,92025
25743,92105
25746,92106
25792,92078
25800,92011
25804,92020
25807,92129
25822,91950
25823,91950
25840,92122
25863,92139
25879,92116
25905,92071
25938,91977
25943,91945
25953,91950
25955,92113
25966,92154
25976,92154
25996,91911
26008,92126
26037,92024
26063,92056
26083,92111
26124,92109
26141,91915
26158,92173
