geoid,ctblockgroup,centroid_lon,centroid_lat,medhinc_cy,avghinc_cy,gini_fy,totpop_cy,n01_bus,s23_emp,n37_sales
060730082021,82021,6247153.740824459,1889857.3166318764,121837,183416,31.8,549,270.0,896.0,44060.0
060730082022,82022,6245165.552846079,1887258.357099758,113559,195455,32.9,997,52.0,406.0,0.0
060730083011,83011,6261575.0359873725,1877650.1792075932,145025,206311,25.8,1430,32.0,228.0,347.0
060730083012,83012,6258800.943064644,1877714.4981121605,200001,284688,16.2,1114,19.0,26.0,0.0
060730083013,83013,6258088.706598075,1880170.1657149906,170920,223215,25.0,834,11.0,33.0,0.0
060730083031,83031,6250062.601686754,1886035.2483430163,161024,246668,25.9,1281,66.0,400.0,1292.0
060730083032,83032,6253554.985210074,1888572.7090539765,200001,336495,18.2,1549,40.0,105.0,0.0
060730083033,83033,6253437.460729445,1885413.5283087622,153454,211441,30.2,553,21.0,132.0,0.0
060730083051,83051,6259293.333900459,1901742.2792612363,44751,61417,42.1,10213,302.0,96967.0,12915.0
060730083052,83052,6263172.381345433,1899927.5960847822,51005,65634,40.4,3711,40.0,1109.0,896.0
060730083061,83061,6263674.443649665,1890512.897604984,200001,255864,17.6,677,12.0,28.0,0.0
060730083062,83062,6261794.59801978,1887866.2234962233,200001,291564,14.8,985,11.0,24.0,0.0
060730083063,83063,6261444.24176671,1889693.915449413,162932,220885,23.8,1482,36.0,96.0,562.0
060730083071,83071,6265090.991466367,1889247.6947492363,185064,233065,23.8,865,11.0,9.0,0.0
060730083072,83072,6266217.60284152,1892676.4954006497,147728,199423,26.8,2102,133.0,203.0,3145.0
060730083073,83073,6267446.491800648,1890341.4663751775,67246,133994,42.8,878,26.0,180.0,731.0
060730083101,83101,6257830.162107745,1884131.0874189548,193363,279400,25.3,1446,38.0,70.0,618.0
060730083102,83102,6255882.281358087,1880605.6192579563,200001,248789,22.7,1626,30.0,53.0,0.0
060730083103,83103,6253511.029922687,1879596.2359017055,133885,207639,28.1,2607,47.0,63.0,337.0
060730083111,83111,6250242.580743467,1882551.8680704366,200001,298053,20.4,1746,47.0,73.0,0.0
060730083112,83112,6250638.743753985,1879603.7070201489,200001,352828,16.1,1134,25.0,17.0,0.0
060730083121,83121,6254690.078164072,1908482.1673874552,200001,341052,16.3,579,101.0,7524.0,9550.0
060730083122,83122,6254745.717710039,1892528.0507356445,94170,140032,37.3,1443,35.0,316.0,4716.0
060730083123,83123,6255234.59215041,1895969.8521259187,147429,236679,26.9,777,17.0,336.0,0.0
060730083124,83124,6252320.751812616,1892159.5236959837,163263,223861,25.9,1057,170.0,817.0,17236.0
